binding-form variants: 29 program(s) -> 197 (forms global,closure,attribute,list_elem,dict_elem,default_param,pos_param,kwargs_expand, 1 literal(s) each)

torch 2.14.0+cpu  device cpu  backend=inductor  reruns=1
197 program(s) -> results\binding_phase1

  string_mode__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.6s]
  string_mode__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.2s]
  string_mode__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.5s]
  string_mode__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.7s]
  string_mode__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.6s]
  string_mode__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  stride_read__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.7s]
  stride_read__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  stride_read__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  stride_read__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.4s]
  stride_read__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.5s]
  stride_read__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.5s]
  stride_read__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.5s]
  mask_index__bind_global0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.5s]
  mask_index__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.7s]
  mask_index__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.1s]
  mask_index__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.4s]
  mask_index__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.2s]
  mask_index__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [4.1s]
  mask_index__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 42 compiles  [3.8s]
  gather_shape__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  gather_shape__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  gather_shape__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.8s]
  gather_shape__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  gather_shape__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  gather_shape__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.2s]
  gather_shape__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  dtype_reduce__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.8s]
  dtype_reduce__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.2s]
  dtype_reduce__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.5s]
  dtype_reduce__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.7s]
  dtype_reduce__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [5.2s]
  dtype_reduce__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [5.5s]
  dtype_reduce__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.7s]
  contiguous_read__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  contiguous_read__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  contiguous_read__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  contiguous_read__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  contiguous_read__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  contiguous_read__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.7s]
  contiguous_read__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  rank_read__bind_global0  0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.7s]
  rank_read__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  rank_read__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [2.0s]
  rank_read__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.8s]
  rank_read__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.6s]
  rank_read__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [2.8s]
  rank_read__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [3.5s]
  flag_and_shape__bind_global0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [5.1s]
  flag_and_shape__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [4.4s]
  flag_and_shape__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [2.5s]
  flag_and_shape__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [2.6s]
  flag_and_shape__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [2.7s]
  flag_and_shape__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [2.9s]
  flag_and_shape__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 18 compiles  [1.8s]

0 candidate(s); summary at results\binding_phase1\SUMMARY.md
