torch 2.14.0+cpu: 603 pairs in shard 1/2, 603 to do
[490/603] ok             any int64 (2s, total 304s)
[491/603] ok             amax float32 (2s, total 306s)
[492/603] ok             amax bool (2s, total 308s)
[493/603] ok             amin int64 (2s, total 309s)
[494/603] ok             argmax float32 (2s, total 312s)
[495/603] ok             argmin float32 (2s, total 313s)
[496/603] ok             mean float32 (2s, total 315s)
[497/603] DIFF:VALUE[decomposed] std float32 (2s, total 317s)
[498/603] ok             var float32 (2s, total 319s)
[499/603] ok             prod float32 (1s, total 321s)
[500/603] ok             prod bool (1s, total 322s)
[501/603] ok             sum int64 (2s, total 324s)
[502/603] ok             nansum float32 (2s, total 326s)
[503/603] ok             nansum bool (2s, total 328s)
[504/603] ok             hash_tensor int64 (2s, total 330s)
[505/603] ok             nn.functional.cosine_embedding_loss float32 (2s, total 332s)
[506/603] ok             nn.functional.cosine_embedding_loss bool (3s, total 335s)
[507/603] ok             nn.functional.gaussian_nll_loss float32 (0s, total 335s)
[508/603] ok             nn.functional.huber_loss float32 (2s, total 337s)
[509/603] ok             repeat_interleave float32 (1s, total 338s)
[510/603] ok             repeat_interleave bool (1s, total 340s)
[511/603] ok             nn.functional.pairwise_distance int64 (1s, total 341s)
[512/603] ok             nn.functional.pixel_shuffle int64 (2s, total 343s)
[513/603] ok             nn.functional.pixel_unshuffle float32 (2s, total 345s)
[514/603] ok             nn.functional.pixel_unshuffle bool (2s, total 347s)
[515/603] ok             nn.functional.channel_shuffle int64 (0s, total 347s)
[516/603] ok             nn.functional.kl_div float32 (2s, total 350s)
[517/603] ok             diagflat int64 (2s, total 352s)
[518/603] ok             scatter_reduce float32 (0s, total 352s)
[519/603] ok             scatter_reduce bool (0s, total 352s)
[520/603] ok             scatter_reduce int64 (0s, total 352s)
[521/603] ok             scatter_reduce float32 (0s, total 352s)
[522/603] ok             scatter_reduce float32 (0s, total 352s)
[523/603] ok             scatter_reduce bool (0s, total 352s)
[524/603] ok             scatter_reduce int64 (0s, total 352s)
[525/603] ok             _segment_reduce float32 (0s, total 352s)
[526/603] ok             linalg.cross float32 (2s, total 354s)
[527/603] ok             linalg.diagonal float32 (2s, total 356s)
[528/603] ok             linalg.diagonal bool (2s, total 358s)
[529/603] ok             linalg.cond float32 (2s, total 360s)
